kind,etag,id.kind,id.videoId,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.channelTitle,snippet.liveBroadcastContent,snippet.publishTime
youtube#searchResult,0d39J9aqU8hwOawRNijwNCAGPVI,youtube#video,CJHumJ6wkkE,2019-04-25T11:20:55Z,UC-SJ6nODDmufqBzPBwCvYvQ,Joe Biden 2020: Former vice president officially enters presidential race,"Former Vice President Joe Biden is now a 2020 presidential candidate. He released a three-minute campaign video Thursday morning, highlighting the 2017 ...",https://i.ytimg.com/vi/CJHumJ6wkkE/default.jpg,120,90,https://i.ytimg.com/vi/CJHumJ6wkkE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/CJHumJ6wkkE/hqdefault.jpg,480,360,CBS This Morning,none,2019-04-25T11:20:55Z
youtube#searchResult,Un4otYfMfwn3Api0T4y7_rLvx5U,youtube#video,K30TgRppDzg,2020-03-13T18:30:55Z,UCIRYBXDze5krPDzAEOxFGVA,Joe Biden: six key policies from his 2020 presidential campaign,Joe Biden has pulled off one of the greatest political comebacks in US politics and is now the frontrunner for the Democratic nomination. Here is a look at where ...,https://i.ytimg.com/vi/K30TgRppDzg/default.jpg,120,90,https://i.ytimg.com/vi/K30TgRppDzg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/K30TgRppDzg/hqdefault.jpg,480,360,Guardian News,none,2020-03-13T18:30:55Z
youtube#searchResult,Ziw0feqroSo95mdp31AaQ7rECLk,youtube#video,FuwceuFmkTw,2019-04-25T15:09:29Z,UCIRYBXDze5krPDzAEOxFGVA,Joe Biden 2020: what you need to know about,Barack Obama's former vice-president has entered the race for the 2020 Democratic presidential nomination. It is his third presidential campaign – after two ...,https://i.ytimg.com/vi/FuwceuFmkTw/default.jpg,120,90,https://i.ytimg.com/vi/FuwceuFmkTw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/FuwceuFmkTw/hqdefault.jpg,480,360,Guardian News,none,2019-04-25T15:09:29Z
youtube#searchResult,i5_XHARJ87EZf9a6oS-LK9wXFHM,youtube#video,VbOU2fTg6cI,2019-04-25T10:00:04Z,UCWNpXitY8eJ-ku6M-v25MKw,Joe Biden For President: America Is An Idea,"It's time for respected leadership on the world stage—and dignified leadership at home. It's time for equal opportunity, equal rights, and equal justice. It's time for ...",https://i.ytimg.com/vi/VbOU2fTg6cI/default.jpg,120,90,https://i.ytimg.com/vi/VbOU2fTg6cI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/VbOU2fTg6cI/hqdefault.jpg,480,360,Joe Biden,none,2019-04-25T10:00:04Z
youtube#searchResult,h-i1yu3Bq6MM_5mV7S9R0v5FGbs,youtube#video,YW7QS8jPO0E,2019-04-26T23:06:59Z,UCAeWdyKJXGWmVAXFpgLNNTg,Trump takes aim at &quot;sleepy&quot; Joe Biden while discussing 2020 election,"When asked about Joe Biden, President Trump raised doubts about the former vice president's fitness to serve as president. Ed O'Keefe reports. Subscribe to ...",https://i.ytimg.com/vi/YW7QS8jPO0E/default.jpg,120,90,https://i.ytimg.com/vi/YW7QS8jPO0E/mqdefault.jpg,320,180,https://i.ytimg.com/vi/YW7QS8jPO0E/hqdefault.jpg,480,360,CBS Evening News,none,2019-04-26T23:06:59Z
youtube#searchResult,XbyXDJGInw6JLy8uxGQpZk4jxhk,youtube#video,xWISyLpF8yg,2019-10-17T17:32:50Z,UC67f2Qf7FYhtoUIF4Sf29cA,&quot;BIDEN 2020&quot; — A Bad Lip Reading,"Joe Biden hits the campaign trail before the 2020 election Follow on Instagram, Twitter, and Facebook! #Biden #badlipreading #trump.",https://i.ytimg.com/vi/xWISyLpF8yg/default.jpg,120,90,https://i.ytimg.com/vi/xWISyLpF8yg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/xWISyLpF8yg/hqdefault.jpg,480,360,Bad Lip Reading,none,2019-10-17T17:32:50Z
youtube#searchResult,7e3qS4CrYy8VL_C2WoI4P6j2uSA,youtube#video,ybnzm5lFwPM,2020-05-21T15:32:05Z,UCupvZG-5ko_eiXAupbDfxWw,This is Joe Biden’s best path to win in 2020,"In 2016, Donald Trump won Michigan, Wisconsin and Pennsylvania, three states Republican's hadn't won in years. While many believe Democratic nominee ...",https://i.ytimg.com/vi/ybnzm5lFwPM/default.jpg,120,90,https://i.ytimg.com/vi/ybnzm5lFwPM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ybnzm5lFwPM/hqdefault.jpg,480,360,CNN,none,2020-05-21T15:32:05Z
youtube#searchResult,qe8umtlzzHRLCCLQZhFxZFWID58,youtube#video,tJAPfahus_U,2020-04-14T17:00:44Z,UCb--64Gl51jIEVE-GLDAVTg,Former President Barack Obama Endorses Joe Biden for President,"Former President Barack Obama endorses Joe Biden for president. ""I believe Joe has all the qualities we need in a president right now.",https://i.ytimg.com/vi/tJAPfahus_U/default.jpg,120,90,https://i.ytimg.com/vi/tJAPfahus_U/mqdefault.jpg,320,180,https://i.ytimg.com/vi/tJAPfahus_U/hqdefault.jpg,480,360,C-SPAN,none,2020-04-14T17:00:44Z
youtube#searchResult,OaWHI5ifjpQIWdzrOYD81rW6fHg,youtube#video,nuFKQfkf_W8,2020-05-21T15:00:32Z,UCJC8HKnDXGlpEu7MIgR2Qgw,REACTING to Political Ads: Trump v Biden 2020 - Jovie&#39;s Home,"Hi, welcome to Jovie's Home! Today we're getting a little bit political and I'm reacting to both Joe Biden and Donald Trump's political ads. I'd LOVE to hear your ...",https://i.ytimg.com/vi/nuFKQfkf_W8/default.jpg,120,90,https://i.ytimg.com/vi/nuFKQfkf_W8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/nuFKQfkf_W8/hqdefault.jpg,480,360,Jovie's Home,none,2020-05-21T15:00:32Z
youtube#searchResult,BPS_GVsBbKV3mAm9f-JgVxgusqY,youtube#video,ph_60WnlT3M,2019-04-25T12:00:10Z,UCnsvJeZO4RigQ898WdDNoBw,BIDEN anuncia su candidatura para 2020,"Joe Biden, vicepresidente de EE UU con Barack Obama, anuncia su candidatura a las primarias demócratas para tratar de ser candidato a la presidencia en ...",https://i.ytimg.com/vi/ph_60WnlT3M/default.jpg,120,90,https://i.ytimg.com/vi/ph_60WnlT3M/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ph_60WnlT3M/hqdefault.jpg,480,360,EL PAIS,none,2019-04-25T12:00:10Z
youtube#searchResult,HQOjWu8TkFLb1R079h2bld9ZVLE,youtube#video,JoU1u4HoMjA,2020-04-14T20:59:55Z,UCn4sPeUomNGIr26bElVdDYg,Barack Obama Endorses Joe Biden for President | NowThis,'I believe Joe has all the qualities we need in a president right now' — Watch the full video of Barack Obama announcing his endorsement of Joe Biden for ...,https://i.ytimg.com/vi/JoU1u4HoMjA/default.jpg,120,90,https://i.ytimg.com/vi/JoU1u4HoMjA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/JoU1u4HoMjA/hqdefault.jpg,480,360,NowThis News,none,2020-04-14T20:59:55Z
youtube#searchResult,IapzvcLfMSlAu3hBUH1wYsOdrPo,youtube#video,z_wlQZ5N_2k,2020-05-15T01:00:20Z,UCME81PohuzT1JMCsEtvsD2w,Joe Biden&#39;s Most Awkward Gaffes Of All Time,Democratic presidential candidate Joe Biden once described himself as a “gaffe machine” and we have to agree. Here's a hilarious collection of epic awkward ...,https://i.ytimg.com/vi/z_wlQZ5N_2k/default.jpg,120,90,https://i.ytimg.com/vi/z_wlQZ5N_2k/mqdefault.jpg,320,180,https://i.ytimg.com/vi/z_wlQZ5N_2k/hqdefault.jpg,480,360,On Demand News,none,2020-05-15T01:00:20Z
youtube#searchResult,sOlhQdze_nO17LmbKW8TWQMzViA,youtube#video,F8PGSVLSzmw,2020-03-11T01:06:18Z,UCaXkIU1QidjPwiAYu6GcHjg,Trump Election Nightmare? Obama-Biden Coalition Reunites For Biden 2020 | MSNBC,"Some early primary election results show Joe Biden rebuilding parts of Obama's diverse coalition, as Biden uses his strong Super Tuesday performance to ...",https://i.ytimg.com/vi/F8PGSVLSzmw/default.jpg,120,90,https://i.ytimg.com/vi/F8PGSVLSzmw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/F8PGSVLSzmw/hqdefault.jpg,480,360,MSNBC,none,2020-03-11T01:06:18Z
youtube#searchResult,8kNWSIUZ22qK8QVv9cw6IfGhwjY,youtube#video,WJ6KIDehvwg,2019-04-26T13:58:42Z,UCBi2mrWuNuyYy4gbM6fU18Q,"Trump, Anita Hill take aim at Biden in 2020 bid","Former Vice President Joe Biden spoke to Hill before announcing his presidential bid, but Hill told The New York Times she will be satisfied when she knows ...",https://i.ytimg.com/vi/WJ6KIDehvwg/default.jpg,120,90,https://i.ytimg.com/vi/WJ6KIDehvwg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/WJ6KIDehvwg/hqdefault.jpg,480,360,ABC News,none,2019-04-26T13:58:42Z
youtube#searchResult,aIFe6VamsJo4AGhaLrlLsj-TGDY,youtube#video,MtPo0Yfn1Kk,2019-03-13T17:59:47Z,UChDKyKQ59fYz3JO2fl0Z6sg,Joe Biden Teases 2020 Presidential Bid | TODAY,Former Vice President Joe Biden dropped the strongest hints yet that he will join the already crowded field of Democrats in the 2020 presidential race.,https://i.ytimg.com/vi/MtPo0Yfn1Kk/default.jpg,120,90,https://i.ytimg.com/vi/MtPo0Yfn1Kk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/MtPo0Yfn1Kk/hqdefault.jpg,480,360,TODAY,none,2019-03-13T17:59:47Z
youtube#searchResult,eomeQR0mEtba0WOY4JqPQnrSLXc,youtube#video,D9kdqCE4c0U,2020-05-07T20:57:30Z,UCWNpXitY8eJ-ku6M-v25MKw,Lincoln | Joe Biden For President,Join our campaign: http://www.joebiden.com Follow Joe! Joe's Twitter: https://twitter.com/joebiden Joe's Facebook: https://www.facebook.com/joebiden Joe's ...,https://i.ytimg.com/vi/D9kdqCE4c0U/default.jpg,120,90,https://i.ytimg.com/vi/D9kdqCE4c0U/mqdefault.jpg,320,180,https://i.ytimg.com/vi/D9kdqCE4c0U/hqdefault.jpg,480,360,Joe Biden,none,2020-05-07T20:57:30Z
